epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,543.948,0.33651,0.18846,0.84489,1,1,0.995,0.9477,0.35685,0.16196,0.84023,0.000322542,0.000322542,0.000322542
45,556.037,0.32754,0.18593,0.84187,1,1,0.995,0.93647,0.39225,0.16174,0.85186,0.000289692,0.000289692,0.000289692
46,567.895,0.31704,0.18236,0.83902,0.99965,1,0.995,0.92774,0.3985,0.16669,0.85233,0.000258355,0.000258355,0.000258355
47,579.79,0.32252,0.18365,0.83644,0.99964,1,0.995,0.91245,0.44014,0.17678,0.86729,0.000228618,0.000228618,0.000228618
48,591.612,0.31889,0.18039,0.83472,1,1,0.995,0.95156,0.33094,0.15289,0.83012,0.000200561,0.000200561,0.000200561
49,603.746,0.31707,0.17776,0.83587,1,1,0.995,0.93499,0.37814,0.16095,0.84582,0.000174262,0.000174262,0.000174262
50,615.606,0.29769,0.17084,0.83095,1,1,0.995,0.94341,0.35062,0.15345,0.84011,0.000149793,0.000149793,0.000149793
51,652.485,0.27521,0.14911,0.81727,0.99964,1,0.995,0.94211,0.36089,0.15492,0.84112,0.000127221,0.000127221,0.000127221
52,666.217,0.27122,0.14529,0.81328,0.99967,1,0.995,0.94541,0.35802,0.15346,0.83845,0.000106608,0.000106608,0.000106608
53,678.101,0.27258,0.14413,0.80863,1,1,0.995,0.94469,0.36369,0.14914,0.84017,8.80093e-05,8.80093e-05,8.80093e-05
54,689.833,0.26845,0.14063,0.81388,1,1,0.995,0.94593,0.36398,0.15185,0.83982,7.14771e-05,7.14771e-05,7.14771e-05
55,701.65,0.26589,0.13983,0.81228,0.99966,1,0.995,0.94356,0.37114,0.15488,0.8441,5.70564e-05,5.70564e-05,5.70564e-05
56,713.457,0.26982,0.14113,0.80646,0.99966,1,0.995,0.94086,0.36999,0.15184,0.84352,4.47868e-05,4.47868e-05,4.47868e-05
57,725.243,0.26495,0.13752,0.82048,0.99965,1,0.995,0.95281,0.33425,0.14706,0.83314,3.47018e-05,3.47018e-05,3.47018e-05
58,737.982,0.26108,0.13623,0.81717,0.99967,1,0.995,0.94706,0.3491,0.14802,0.83529,2.68292e-05,2.68292e-05,2.68292e-05
59,750.366,0.26057,0.13506,0.80646,0.99965,1,0.995,0.95226,0.34268,0.14459,0.83426,2.11903e-05,2.11903e-05,2.11903e-05
60,762.665,0.26079,0.13537,0.80925,0.99965,1,0.995,0.94623,0.35479,0.14786,0.83974,1.78009e-05,1.78009e-05,1.78009e-05
